num_of,article,qte,jour,heure_debut,heure_fin,charge_h,cumul_jour_h,date_echeance
F426-09174,11011116,150,2026-03-23,07:00,08:26,1.44,1.44,2026-03-24
F126-44626,FBE1089GM,264,2026-03-24,07:00,15:48,8.8,8.8,2026-03-25
F426-09503,11033680,540,2026-03-27,07:00,14:12,7.2,7.2,2026-03-30
F426-09619,AEA877AL,200,2026-03-27,14:27,16:33,2.105,9.555,2026-03-30
SGAE10624998173,AEA775XX,440,2026-03-27,16:48,19:00,2.2,12.005,2026-03-31
F426-09634,AVE209AE,6,2026-03-27,19:15,19:16,0.006,12.261,2026-04-01
F126-44717,AEA774XX,30,2026-03-27,19:31,19:34,0.05,12.561,2026-04-01
