num_of,article,qte,jour,heure_debut,heure_fin,charge_h,cumul_jour_h,date_echeance
F126-44740,BXE2056GM,216,2026-03-23,07:00,09:42,2.7,2.7,2026-03-25
SGAE10625027510,BXC1902EX,72,2026-03-23,09:57,10:36,0.655,3.605,2026-03-31
SGAE10625055504,BXE2078GM,6,2026-03-23,10:51,10:55,0.057,3.912,2026-03-31
SGAE10625062891,BXE2202GM,3,2026-03-23,11:10,11:12,0.037,4.199,2026-03-31
SGAE10625047338,BXE2065GM,3,2026-03-23,11:27,11:29,0.029,4.478,2026-03-31
SGAE10625022127,BXC1899EX,192,2026-03-23,11:44,13:59,2.259,6.987,2026-03-31
SGAE10625053072,BXE2077GM,6,2026-03-23,14:14,14:18,0.057,7.294,2026-03-31
SGAE10625058911,BXE2189GM,3,2026-03-23,14:33,14:35,0.038,7.582,2026-03-31
SGAE10625050736,BXE2069GM,3,2026-03-23,14:50,14:52,0.029,7.861,2026-03-31
SGAE10625057803,BXE2080GM,3,2026-03-23,15:07,15:08,0.029,8.14,2026-03-31
SGAE10625048825,BXE2066GM,1,2026-03-23,15:23,15:24,0.013,8.403,2026-03-31
SGAE10625013825,BFE2068GM,3,2026-03-23,15:39,15:41,0.029,8.682,2026-03-31
SGAE10625051114,BXE2073GM,30,2026-03-23,15:56,16:19,0.385,9.317,2026-03-31
F126-44698,BXC1893EX,288,2026-03-24,07:00,09:37,2.618,2.618,2026-03-31
SGAE10625059834,BXE2191GM,30,2026-03-24,09:52,10:15,0.385,3.253,2026-03-31
SGAE10625054317,BXE2078EX,360,2026-03-25,07:00,10:26,3.429,3.429,2026-03-31
F126-44858,BXC1890GM,576,2026-03-27,07:00,12:14,5.236,5.236,2026-04-01
F126-44860,BXE2051GM,60,2026-03-27,12:29,13:03,0.571,6.057,2026-04-01
F426-09279,BXG271AL,120,2026-03-27,13:18,17:27,4.138,10.445,2026-04-01
F126-44861,BXE2080GM,30,2026-03-27,17:42,17:59,0.286,10.981,2026-04-01
F426-09278,BXG352AL,20,2026-03-27,18:14,18:55,0.69,11.921,2026-04-01
F126-44864,BXE1999EX,30,2026-03-27,19:10,19:27,0.286,12.457,2026-04-02
