num_of,article,qte,jour,heure_debut,heure_fin,charge_h,cumul_jour_h,date_echeance
F426-10232,11019006,480,2026-03-23,07:00,12:37,5.616,5.616,2026-03-24
F326-01661,11819091,720,2026-03-24,07:00,17:48,10.799,10.799,2026-03-24
F426-10236,11019003,480,2026-03-25,07:00,13:51,6.857,6.857,2026-03-26
F426-10238,11019014,240,2026-03-25,14:06,18:00,3.888,10.995,2026-03-26
F426-09344,11019017,30,2026-03-25,18:15,18:44,0.486,11.731,2026-03-26
F426-09345,11019020,480,2026-03-26,07:00,14:47,7.776,7.776,2026-03-26
F426-10237,11019004,480,2026-03-27,07:00,12:39,5.647,5.647,2026-03-26
