num_of,article,qte,jour,heure_debut,heure_fin,charge_h,cumul_jour_h,date_echeance
F426-08784,11016307,63,2026-03-23,07:00,07:32,0.525,0.525,2026-03-19
F326-01653,11016283,10,2026-03-23,07:46,07:51,0.083,0.858,2026-03-25
F426-10014,11016287,112,2026-03-23,08:06,09:02,0.933,2.041,2026-03-26
F426-10015,11016291,112,2026-03-23,09:17,10:13,0.933,3.224,2026-03-26
F426-10012,11016270,48,2026-03-23,10:28,10:52,0.4,3.874,2026-03-26
F426-10013,11016284,112,2026-03-23,11:07,12:03,0.933,5.057,2026-03-26
F426-10018,11016313,168,2026-03-23,12:18,13:42,1.4,6.707,2026-03-26
F426-10234,11016314,72,2026-03-23,13:57,14:33,0.6,7.557,2026-03-26
F426-10017,11016312,300,2026-03-23,14:48,17:18,2.5,10.307,2026-03-26
F426-10016,11016309,720,2026-03-24,07:00,13:00,6.0,6.0,2026-03-26
F426-10011,11016262,384,2026-03-24,13:15,16:27,3.2,9.45,2026-03-26
F326-01656,11016267,10,2026-03-25,07:00,07:05,0.083,0.083,2026-03-27
F326-01658,11016306,10,2026-03-25,07:20,07:25,0.083,0.416,2026-03-27
F326-01651,11016286,6,2026-03-25,07:40,07:43,0.05,0.716,2026-03-27
F326-01650,11016302,6,2026-03-25,07:58,08:01,0.05,1.016,2026-03-27
F326-01659,11016269,5,2026-03-25,08:16,08:18,0.042,1.308,2026-03-27
F326-01652,11016282,4,2026-03-25,08:33,08:35,0.033,1.591,2026-03-27
F326-01654,11016297,15,2026-03-25,08:50,08:58,0.125,1.966,2026-03-27
F326-01655,11016261,10,2026-03-25,09:13,09:18,0.083,2.299,2026-03-27
F326-01657,11016265,10,2026-03-25,09:33,09:38,0.083,2.632,2026-03-27
F426-10071,11016310,480,2026-03-25,09:53,13:53,4.0,6.882,2026-03-30
SGAE10624920435,11016310,1056,2026-03-26,07:00,15:48,8.8,8.8,2026-03-31
SGAE10624918449,11016286,1,2026-03-27,07:00,07:00,0.008,0.008,2026-04-01
