num_of,article,qte,jour,heure_debut,heure_fin,charge_h,cumul_jour_h,date_echeance
F126-44752,BDH2216AL,1152,2026-03-23,07:00,08:48,1.8,1.8,2026-03-23
SGAE10625160560,BDH2216AL,516,2026-03-23,08:48,09:36,0.806,2.606,2026-03-23
F126-44929,BDH2251AL,1152,2026-03-23,09:51,13:03,3.2,6.056,2026-03-23
SGAE10625162536,BDH2251AL,750,2026-03-23,13:03,15:08,2.083,8.139,2026-03-23
F426-10174,BDH2251AL,384,2026-03-23,15:08,16:12,1.067,9.206,2026-03-23
SGAE10625162537,BDH2251AL,8,2026-03-23,16:12,16:14,0.022,9.228,2026-03-23
F426-10029,BDH2283AL,384,2026-03-24,07:00,08:04,1.067,1.067,2026-03-25
F426-10367,BDH2231AL,768,2026-03-25,07:00,09:08,2.133,2.133,2026-03-25
SGAE10625161496,BDH2231AL,1340,2026-03-25,09:08,12:51,3.722,5.855,2026-03-23
F426-10069,BDH2228AL,384,2026-03-25,13:06,14:10,1.067,7.172,2026-03-26
F426-10070,BDH2276AL,384,2026-03-25,14:25,15:29,1.067,8.489,2026-03-26
SGAE10625161497,BDH2231AL,1160,2026-03-25,15:44,18:58,3.222,11.961,2026-03-23
SGAE10625162538,BDH2251AL,1976,2026-03-26,07:00,12:29,5.489,5.489,2026-03-26
SGAE10625160561,BDH2216AL,1904,2026-03-26,12:44,15:43,2.975,8.714,2026-03-26
F426-10361,BDH2216AL,784,2026-03-26,15:43,16:56,1.225,9.939,2026-03-27
F426-10306,BDH2263AL,384,2026-03-27,07:00,08:04,1.067,1.067,2026-03-30
F426-10308,BDH2241AL,50,2026-03-27,08:19,08:27,0.139,1.456,2026-03-30
F426-10310,BDH2306AL,50,2026-03-27,08:42,08:51,0.139,1.845,2026-03-30
F426-10311,BDH2248AL,50,2026-03-27,09:06,09:14,0.139,2.234,2026-03-30
F426-10307,BDH2224AL,339,2026-03-27,09:29,10:01,0.53,3.014,2026-03-30
F426-10381,BDH2305AL,50,2026-03-27,10:16,10:24,0.139,3.403,2026-03-31
F426-10314,BDH2219AL,384,2026-03-27,10:39,11:15,0.6,4.253,2026-04-01
F426-10315,BDH2228AL,768,2026-03-27,11:30,13:38,2.133,6.636,2026-04-01
F426-10318,BDH2221AL,768,2026-03-27,13:53,15:05,1.2,8.086,2026-04-01
F426-10312,BDH2186AL,384,2026-03-27,15:20,16:24,1.067,9.403,2026-04-01
F426-10241,BDH2264AL,384,2026-03-27,16:39,17:43,1.067,10.72,2026-04-01
F426-10277,BDH2212AL,384,2026-03-27,17:58,19:02,1.067,12.037,2026-04-01
