num_of,article,qte,jour,heure_debut,heure_fin,charge_h,cumul_jour_h,date_echeance
F126-44769,EMM716HU,2160,2026-03-23,07:00,12:24,5.4,5.4,2026-03-25
F126-44770,EMM916HU,1080,2026-03-23,12:39,15:21,2.7,8.35,2026-03-25
F426-09791,EBH1360AL,3744,2026-03-24,07:00,16:42,9.699,9.699,2026-03-26
F426-09069,11011171,60,2026-03-25,07:00,07:09,0.15,0.15,2026-03-26
F426-09813,EHM1305AE,1008,2026-03-25,07:24,09:55,2.52,2.92,2026-04-01
F126-44389,EHP1198GM,689,2026-03-26,07:00,08:52,1.862,1.862,2026-04-07
F126-44827,EMM716PO,1080,2026-03-27,07:00,09:42,2.7,2.7,2026-04-07
SGAE10625084665,EMM716PO,1080,2026-03-27,09:42,12:24,2.7,5.4,2026-04-07
SGAE10625084010,EMM707PO,864,2026-03-27,12:39,14:59,2.335,7.985,2026-04-07
