num_of,article,qte,jour,heure_debut,heure_fin,charge_h,cumul_jour_h,date_echeance
SGAE10625074983,EFL1348AL,155,2026-03-23,07:00,07:17,0.291,0.291,2026-03-16
SGAE10625072122,EAR282GM,1152,2026-03-23,07:32,10:30,2.961,3.502,2026-03-24
F426-09374,EFL1345AL,1440,2026-03-23,10:45,13:45,3.006,6.758,2026-03-30
SGAE10625067248,EAF323EX,256,2026-03-23,14:00,14:59,0.97,7.978,2026-03-31
SGAE10625065808,EAF309EX,80,2026-03-23,15:14,15:26,0.204,8.432,2026-03-31
F126-44822,EAR201EX,648,2026-03-24,07:00,09:20,2.331,2.331,2026-03-31
F126-44820,EAR203HU,40,2026-03-27,07:00,07:07,0.12,0.12,2026-04-01
F426-09830,EHL1395AL,120,2026-03-27,07:22,07:40,0.305,0.675,2026-04-01
F426-09868,EHL1386AL,1440,2026-03-27,07:56,11:35,3.664,4.589,2026-04-02
F126-44866,EAR201EX,648,2026-03-27,11:50,14:10,2.331,7.17,2026-04-07
SGAE10625065810,EAF309EX,80,2026-03-27,14:25,14:37,0.204,7.624,2026-04-07
