num_of,article,qte,jour,heure_debut,heure_fin,charge_h,cumul_jour_h,date_echeance
F426-08718,AEA570AL,480,2026-03-23,07:00,10:42,3.692,3.692,2026-03-26
SGAE10624993039,AEA1243XX,1440,2026-03-23,10:57,11:13,0.272,4.214,2026-03-31
SGAE10624994322,AEA1955XX,63,2026-03-23,11:28,12:31,1.05,5.514,2026-03-31
SGAE10624998431,AEA808XX,84,2026-03-23,12:46,13:00,0.233,5.997,2026-03-31
SGAE10625065758,DP2409,111,2026-03-24,07:00,08:30,1.5,1.5,2026-03-31
SGAE10624998110,AEA733XX,1809,2026-03-24,08:45,11:59,3.23,4.98,2026-03-31
F126-44834,AEA301XX,1007,2026-03-27,07:00,11:17,4.285,4.285,2026-03-31
F426-09973,AEA1218AL,72,2026-03-27,11:32,12:11,0.655,5.19,2026-04-01
F426-09971,AEA362AL,48,2026-03-27,12:26,12:49,0.369,5.809,2026-04-01
F426-09506,AEA1217AL,72,2026-03-27,13:04,14:40,1.6,7.659,2026-04-01
SGAE10624994855,AEA1992XX,175,2026-03-27,14:55,15:05,0.175,8.084,2026-04-01
F126-44836,AEA1217EX,100,2026-03-27,15:20,17:33,2.222,10.556,2026-04-02
F126-44835,AEA1216EX,100,2026-03-27,17:48,18:18,0.5,11.306,2026-04-02
SGAE10624993040,AEA1243XX,1440,2026-03-27,18:33,18:50,0.272,11.828,2026-04-07
SGAE10624998831,AEA852XX,1440,2026-03-27,19:05,19:21,0.272,12.35,2026-04-07
