num_of,article,qte,jour,heure_debut,heure_fin,charge_h,cumul_jour_h,date_echeance
F126-44925,11019149,145,2026-03-23,07:00,09:40,2.668,2.668,2026-03-24
SGAE10624933151,11019149,1,2026-03-23,09:40,09:41,0.018,2.686,2026-03-24
F426-09805,11019130,520,2026-03-23,09:56,15:43,5.778,8.714,2026-03-26
F426-09806,11019132,260,2026-03-24,07:00,09:53,2.889,2.889,2026-03-26
F326-01663,11019154,10,2026-03-24,10:08,10:31,0.371,3.51,2026-03-27
F326-01666,11019411,10,2026-03-24,10:46,10:46,0.009,3.769,2026-03-31
F326-01665,11019147,30,2026-03-24,11:01,11:48,0.789,4.808,2026-03-31
F326-01664,11019142,26,2026-03-24,12:03,12:25,0.351,5.409,2026-03-31
