num_of,article,qte,jour,heure_debut,heure_fin,charge_h,cumul_jour_h,date_echeance
F126-44438,EHT780PO,42,2026-03-23,07:00,07:25,0.42,0.42,2026-03-24
F426-09137,GBP1810AE,384,2026-03-23,07:40,11:31,3.84,4.51,2026-03-25
F426-09104,GBP1810AE,384,2026-03-23,11:31,15:21,3.84,8.35,2026-03-26
F426-09105,GBP1811AE,192,2026-03-23,15:36,17:31,1.92,10.52,2026-03-26
F426-10246,GBP443AE,640,2026-03-24,07:00,17:40,10.667,10.667,2026-03-26
F126-44901,BXL888PO,576,2026-03-25,07:00,11:07,4.114,4.114,2026-03-31
F126-44899,EHT780PO,900,2026-03-27,07:00,16:00,9.0,9.0,2026-03-31
SGAE10625094059,TDA873GM,95,2026-03-27,16:15,17:34,1.319,10.569,2026-04-01
